Scope,JPB1 pin,Net,STM32H563VITx LQFP100 pin,Package position,Peripheral or pin evidence,Default or population rule,Review status,Open blocker,Blocked action
Power status,19,PB_PWR_GOOD,PD2,83,GPIO input; PWR_WKUP7 capable; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Input with defined pull; invalid keeps outputs off,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Power status,20,PB_WAKE_REQ,PC13,7,GPIO input; PWR_WKUP4 capable; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Wake-capable input; no output enable during wake,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,21,OUT1_CTL,PE5,4,GPIO output with TIM15_CH1; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,22,OUT2_CTL,PE6,5,GPIO output with TIM15_CH2; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,23,OUT3_CTL,PE9,40,GPIO output with TIM1_CH1; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,24,OUT4_CTL,PE11,42,GPIO output with TIM1_CH2; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,25,OUT5_CTL,PE13,44,GPIO output with TIM1_CH3; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,26,OUT6_CTL,PE14,45,GPIO output with TIM1_CH4; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,27,OUT7_CTL,PD12,59,GPIO output with TIM4_CH1; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,28,OUT8_CTL,PD13,60,GPIO output with TIM4_CH2; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,29,OUT9_CTL,PD14,61,GPIO output with TIM4_CH3; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output control,30,OUT10_CTL,PD15,62,GPIO output with TIM4_CH4; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Reset/default low; role-free OUTx only,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,31,OUT1_FLT,PE2,1,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,32,OUT2_FLT,PE3,2,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,33,OUT3_FLT,PE4,3,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,34,OUT4_FLT,PE7,38,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,35,OUT5_FLT,PE8,39,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,36,OUT6_FLT,PE10,41,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,37,OUT7_FLT,PE12,43,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,38,OUT8_FLT,PE15,46,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,39,OUT9_FLT,PC6,63,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Output fault,40,OUT10_FLT,PC9,66,GPIO input EXTI-capable line planning; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Fault-safe pull domain; firmware may aggregate interrupts without polling-only safety dependency,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,41,OUT1_IMON,PC0,15,ADC1_INP10 ADC2_INP10; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,42,OUT2_IMON,PC1,16,ADC1_INP11 ADC2_INP11; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,43,OUT3_IMON,PC2,17,ADC1_INP12 ADC2_INP12; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,44,OUT4_IMON,PC3,18,ADC1_INP13 ADC2_INP13; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,45,OUT5_IMON,PA0,23,ADC1_INP0 ADC2_INP0; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,46,OUT6_IMON,PA1,24,ADC1_INP1 ADC2_INP1; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,47,OUT7_IMON,PA2,25,ADC1_INP14 ADC2_INP14; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,48,OUT8_IMON,PA3,26,ADC1_INP15 ADC2_INP15; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,49,OUT9_IMON,PA4,29,ADC1_INP18 ADC2_INP18; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,50,OUT10_IMON,PA5,30,ADC1_INP19 ADC2_INP19; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,51,VBAT_SENSE,PA6,31,ADC1_INP3 ADC2_INP3; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,52,IIN_SENSE,PA7,32,ADC1_INP7 ADC2_INP7; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,53,TEMP_PCB,PC4,33,ADC1_INP4 ADC2_INP4; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,54,TEMP_PWR_A,PC5,34,ADC1_INP8 ADC2_INP8; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
Analog telemetry,55,TEMP_PWR_B,PB0,35,ADC1_INP9 ADC2_INP9; ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Analog input; scaling/filtering/calibration owned by telemetry gates,Closed,Closed: exact STM32H563VITx LQFP100 binding captured from ST STM32_open_pin_data; final schematic capture remains governed by other gates,Do not change this binding without updating PB-100 JPB1 contract and LB-100 schematic review
