Output,Net pattern,Expanded net,Primary sheet,Source artifact,Default state,Safety rule
OUT2,OUTn_SRC,OUT2_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_PD,OUT2_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_PU,OUT2_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_CS_N,OUT2_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_CS_P,OUT2_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_ISCP_SET,OUT2_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_LOAD,OUT2_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT2,OUTn_FUSED,OUT2_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT3,OUTn_CTL,OUT3_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT3,OUTn_OV_SET,OUT3_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_INP,OUT3_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_FLT,OUT3_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT3,OUTn_IMON,OUT3_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT3,OUTn_IWRN_SET,OUT3_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_TMR,OUT3_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_DIODE,OUT3_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_BST,OUT3_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_SRC,OUT3_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_PD,OUT3_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_PU,OUT3_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_CS_N,OUT3_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_CS_P,OUT3_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_ISCP_SET,OUT3_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT3,OUTn_LOAD,OUT3_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT3,OUTn_FUSED,OUT3_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT4,OUTn_CTL,OUT4_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT4,OUTn_OV_SET,OUT4_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_INP,OUT4_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_FLT,OUT4_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT4,OUTn_IMON,OUT4_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT4,OUTn_IWRN_SET,OUT4_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_TMR,OUT4_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_DIODE,OUT4_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_BST,OUT4_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_SRC,OUT4_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_PD,OUT4_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_PU,OUT4_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_CS_N,OUT4_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_CS_P,OUT4_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_ISCP_SET,OUT4_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT4,OUTn_LOAD,OUT4_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT4,OUTn_FUSED,OUT4_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT5,OUTn_CTL,OUT5_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT5,OUTn_OV_SET,OUT5_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_INP,OUT5_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_FLT,OUT5_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT5,OUTn_IMON,OUT5_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT5,OUTn_IWRN_SET,OUT5_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_TMR,OUT5_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_DIODE,OUT5_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_BST,OUT5_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_SRC,OUT5_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_PD,OUT5_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_PU,OUT5_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_CS_N,OUT5_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_CS_P,OUT5_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_ISCP_SET,OUT5_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT5,OUTn_LOAD,OUT5_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT5,OUTn_FUSED,OUT5_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT6,OUTn_CTL,OUT6_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT6,OUTn_OV_SET,OUT6_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_INP,OUT6_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_FLT,OUT6_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT6,OUTn_IMON,OUT6_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT6,OUTn_IWRN_SET,OUT6_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_TMR,OUT6_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_DIODE,OUT6_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_BST,OUT6_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_SRC,OUT6_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_PD,OUT6_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_PU,OUT6_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_CS_N,OUT6_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_CS_P,OUT6_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_ISCP_SET,OUT6_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT6,OUTn_LOAD,OUT6_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT6,OUTn_FUSED,OUT6_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT7,OUTn_CTL,OUT7_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT7,OUTn_OV_SET,OUT7_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_INP,OUT7_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_FLT,OUT7_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT7,OUTn_IMON,OUT7_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT7,OUTn_IWRN_SET,OUT7_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_TMR,OUT7_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_DIODE,OUT7_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_BST,OUT7_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_SRC,OUT7_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_PD,OUT7_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_PU,OUT7_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_CS_N,OUT7_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_CS_P,OUT7_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_ISCP_SET,OUT7_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT7,OUTn_LOAD,OUT7_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT7,OUTn_FUSED,OUT7_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT8,OUTn_CTL,OUT8_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT8,OUTn_OV_SET,OUT8_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_INP,OUT8_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_FLT,OUT8_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT8,OUTn_IMON,OUT8_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT8,OUTn_IWRN_SET,OUT8_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_TMR,OUT8_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_DIODE,OUT8_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_BST,OUT8_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_SRC,OUT8_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_PD,OUT8_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_PU,OUT8_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_CS_N,OUT8_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_CS_P,OUT8_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_ISCP_SET,OUT8_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT8,OUTn_LOAD,OUT8_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT8,OUTn_FUSED,OUT8_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT9,OUTn_CTL,OUT9_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
