Pin,Signal,Group,Direction,Requirement,Notes
83,FOG_B_SW_IN,Manual control B,PB-100 to LB-100,Core,Independent protected request for configured second fog pair; PA9 after LB clamp and Schmitt buffer
84,EXT_5V_EN,Expansion,LB-100 to PB-100,Future,External sensor supply enable
85,SPARE_01,Reserve,Mixed,Future,Reserved
86,SPARE_02,Reserve,Mixed,Future,Reserved
87,SPARE_03,Reserve,Mixed,Future,Reserved
88,SPARE_04,Reserve,Mixed,Future,Reserved
89,SPARE_05,Reserve,Mixed,Future,Reserved
90,SPARE_06,Reserve,Mixed,Future,Reserved
91,SPARE_07,Reserve,Mixed,Future,Reserved
92,SPARE_08,Reserve,Mixed,Future,Reserved
93,SPARE_09,Reserve,Mixed,Future,Reserved
94,SPARE_10,Reserve,Mixed,Future,Reserved
95,SPARE_11,Reserve,Mixed,Future,Reserved
96,SPARE_12,Reserve,Mixed,Future,Reserved
97,SPARE_13,Reserve,Mixed,Future,Reserved
98,SPARE_14,Reserve,Mixed,Future,Reserved
99,SPARE_15,Reserve,Mixed,Future,Reserved
100,SPARE_16,Reserve,Mixed,Future,Reserved
