Ref,Instance block,Symbol key,Concrete symbol name,Symbol state,Notes
F108,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT8 user-serviceable fuse class
J108,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT8 garage output connector class
U109,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT9 high-side controller
Q109,outputs,OUT_FET,PB100_POWER_NMOS_ESCAPE_PRELIM,Created,OUT9 selected BUK7S1R2-80M 80 V output MOSFET
F109,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT9 user-serviceable fuse class
J109,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT9 garage output connector class
U110,outputs,HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,Created,OUT10 high-side controller
Q110,outputs,OUT_FET,PB100_POWER_NMOS_ESCAPE_PRELIM,Created,OUT10 selected BUK7S1R2-80M 80 V output MOSFET
F110,outputs,OUTPUT_FUSE_HOLDER,PB100_OUTPUT_FUSE_CLASS_PRELIM,Created,OUT10 user-serviceable fuse class
J110,outputs,OUTPUT_CONNECTOR,PB100_OUTPUT_CONNECTOR_CLASS_PRELIM,Created,OUT10 garage output connector class
RT1,telemetry,THERMAL_NTC,PB100_THERMAL_NTC_PRELIM,Created,TEMP_PCB thermal sensor class
RT2,telemetry,THERMAL_NTC,PB100_THERMAL_NTC_PRELIM,Created,TEMP_PWR_A thermal sensor class
RT3,telemetry,THERMAL_NTC,PB100_THERMAL_NTC_PRELIM,Created,TEMP_PWR_B thermal sensor class
RID1,telemetry,BOARD_ID_RESISTOR,PB100_BOARD_ID_RESISTOR_CLASS_PRELIM,Created,Board identity resistor network class
JP_CAN1,can1-safety,CAN1_TX_DISABLE,PB100_CAN1_TX_DNP_LINK_PRELIM,Created,DNP/open CAN1 TX link concrete symbol under CAN1_TX_DISABLE policy umbrella
U_CAN1,can1-safety,CAN1_TX_DISABLE,PB100_SN74LVC1G125_Q1_DBV_PRELIM,Created,Conditional SN74LVC1G125-Q1 DBV gate concrete symbol under CAN1_TX_DISABLE policy umbrella
R_CAN1_OE,can1-safety,CAN1_TX_DISABLE,PB100_CAN1_SAFETY_RESISTOR_PRELIM,Created,47k physical OE default-disable pull-up
R_CAN1_TX_BIAS,can1-safety,CAN1_TX_DISABLE,PB100_CAN1_SAFETY_RESISTOR_PRELIM,Created,47k downstream CAN1_TXD_SAFE recessive-bias pull-up
R_CAN1_STATUS_SER,can1-safety,CAN1_TX_DISABLE,PB100_CAN1_SAFETY_RESISTOR_PRELIM,Created,1k physical OE-to-status series readback
R_CAN1_STATUS_PULL,can1-safety,CAN1_TX_DISABLE,PB100_CAN1_SAFETY_RESISTOR_PRELIM,Created,100k disabled-status default pull-up
U_CAN1_PHY,can1-safety,CAN1_PHY,PB100_TJA1051TK3_CAN_PHY_PRELIM,Created,TJA1051TK/3/1J PB-owned transceiver with no TX bypass and independent RX
D_CAN1,can1-safety,CAN1_ESD,PB100_ESD2CANFD24_Q1_PRELIM,Created,ESD2CANFD24QDBZRQ1 PB-owned CANH CANL harness protection
TP1..TPn,test,TEST_POINT,PB100_TEST_POINT_CLASS_PRELIM,Created,Pattern row for schematic-review-defined test points
