Net pattern,Domain,Primary sheet,Direction,Default state,Safety rule
OUTn_OV_SET,Output local threshold,output-channel-template.kicad_sch,Local threshold network,TBD not final,Must close with TVS clamp and controller limit review
OUTn_INP,Output local control,output-channel-template.kicad_sch,Local control conditioning,Pulled low/off,Must derive from OUTn_CTL without role-specific behavior
OUTn_IWRN_SET,Output local threshold,output-channel-template.kicad_sch,Local threshold network,TBD not final,Must close with per-class current warning values
OUTn_TMR,Output local timing,output-channel-template.kicad_sch,Local timing network,TBD not final,Must close with fault blanking and retry policy
OUTn_DIODE,Output local thermal,output-channel-template.kicad_sch,Local sensor input,TBD not final,Must close with remote diode or no-populate decision
OUTn_BST,Output local driver,output-channel-template.kicad_sch,Local bootstrap network,TBD not final,Must close with bootstrap capacitor value and voltage rating
OUTn_SRC,Output local switch,output-channel-template.kicad_sch,Local source sense,Tracks switched source node,Must close with MOSFET source and fuse-side naming review
OUTn_PD,Output local gate drive,output-channel-template.kicad_sch,Controller to gate path,Pull-down keeps gate off,Must close with gate discharge resistor review
OUTn_PU,Output local gate drive,output-channel-template.kicad_sch,Controller to gate path,Inactive until enabled,Must close with gate charge resistor review
OUTn_CS_N,Output local current sense,output-channel-template.kicad_sch,Local current-sense path,TBD not final,Must close with current-sense topology review
OUTn_CS_P,Output local current sense,output-channel-template.kicad_sch,Local current-sense path,TBD not final,Must close with current-sense topology review
OUTn_ISCP_SET,Output local threshold,output-channel-template.kicad_sch,Local threshold network,TBD not final,Must close with short-circuit threshold review
OUTn_LOAD,Output power,outputs-1-10.kicad_sch,PB-100 to harness,Off by default,Must pass fuse current SOA and thermal review
OUTn_SWITCHED,Output fuse input,outputs-1-10.kicad_sch,PB-100 to fuse,Off by default,Must feed user-serviceable fuse path only
OUTn_FUSED,Output connector feed,outputs-1-10.kicad_sch,Fuse to harness,Off by default,Must remain generic and fuse-protected
TEMP_PCB,Analog telemetry,telemetry.kicad_sch,PB-100 to LB-100,Sensor default,Missing stale or implausible telemetry is safe fault
TEMP_PWR_A,Analog telemetry,telemetry.kicad_sch,PB-100 to LB-100,Sensor default,Missing stale or implausible telemetry is safe fault
TEMP_PWR_B,Analog telemetry,telemetry.kicad_sch,PB-100 to LB-100,Sensor default,Missing stale or implausible telemetry is safe fault
PB_ID_ADC,Board identity,telemetry.kicad_sch,PB-100 to LB-100,Revision divider,Must not control safety-critical behavior without validation
PB_I2C_SCL,Digital monitor bus,telemetry.kicad_sch,LB-100 to PB-100,Pull-up required,Optional monitor bus must not be required for safe output off state
PB_I2C_SDA,Digital monitor bus,telemetry.kicad_sch,LB-100/PB-100,Pull-up required,Optional monitor bus must not be required for safe output off state
PB_FAULT,Board fault,telemetry.kicad_sch,PB-100 to LB-100,Fault until valid,Must summarize board-level fault state
CAN1_TX_DISABLE_CMD,CAN safety,can1-safety.kicad_sch,LB-100 to PB-100,Disable asserted by hardware pull,Default must physically disable vehicle CAN TX path
CAN1_TX_DISABLED_STATUS,CAN safety,can1-safety.kicad_sch,PB-100 to LB-100,Asserted when disabled,Must report physical disabled state where safety gate crosses PB-100
CAN1_RX_ROUTE,CAN receive,can1-safety.kicad_sch,PB-100 to LB-100,DNP unless CAN1 crosses PB-100,May be populated independently for listen-only reception
CAN1_TX_ROUTE,CAN transmit DNP,can1-safety.kicad_sch,LB-100 to PB-100,DNP/open by default,Must remain DNP/open unless a future ADR changes policy
CAN1_TX_GATE_OUT,CAN safety local,can1-safety.kicad_sch,Local gate output before DNP/open link,High-Z or recessive while disabled,Must not bypass JP_CAN1 DNP/open or create a default-populated vehicle-CAN TX path
CAN1_TXD_SAFE,CAN safety local,can1-safety.kicad_sch,Downstream side of DNP/open link toward transceiver TXD,Isolated and biased recessive while JP_CAN1 is DNP/open,Must remain electrically distinct from CAN1_TX_ROUTE and CAN1_TX_GATE_OUT
CAN2_RX_ROUTE,Expansion CAN,can1-safety.kicad_sch,PB-100 to LB-100,DNP by default,Expansion only not vehicle CAN
CAN2_TX_ROUTE,Expansion CAN,can1-safety.kicad_sch,LB-100 to PB-100,DNP by default,Expansion only not vehicle CAN
SPARE_*,Reserve,b2b-interface.kicad_sch,Mixed,NC,Must not carry hidden role-specific behavior before schematic review
